,created_at,id,full_text,gpe,latitude,longitude
0,Wed Jun 22 05:19:40 +0000 2022,1539478202510450690,in  district of  more than 60 people were killed and almost 80 of the houses were destroyed as a result of seve _locincl_,Gyan,32.975159,69.399302
1,Wed Jun 22 05:18:19 +0000 2022,1539477864726274049,earthquake update  dozens house destroyed many killed in    and  districts of  provin   _urlincl_ _locincl_,Gyan,32.975159,69.399302
2,Wed Jun 22 05:18:19 +0000 2022,1539477864726274049,earthquake update  dozens house destroyed many killed in    and  districts of  provin   _urlincl_ _locincl_,Gyan,32.975159,69.399302
3,Wed Jun 22 05:18:19 +0000 2022,1539477864726274049,earthquake update  dozens house destroyed many killed in    and  districts of  provin   _urlincl_ _locincl_,Gyan,32.975159,69.399302
4,Wed Jun 22 11:19:56 +0000 2022,1539568868230057984,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
5,Wed Jun 22 11:15:30 +0000 2022,1539567753794928647,update breakingat least 255 people have been killed and 500 others injured in an earthquake in    an _locincl_,Ziruk,33.155823,69.326833
6,Wed Jun 22 13:37:27 +0000 2022,1539603476371492869,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
7,Wed Jun 22 13:37:27 +0000 2022,1539603476371492869,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
8,Wed Jun 22 06:29:08 +0000 2022,1539495686973968384,one village is completely destroyed as a result of earthquake in  district in  province residents in  _locincl_,Gyan,32.975159,69.399302
9,Wed Jun 22 11:00:42 +0000 2022,1539564028313452544,at least 255 people have been killed and 155 others injured in an earthquake in    and  distric _locincl_,Ziruk,33.155823,69.326833
10,Wed Jun 22 10:59:11 +0000 2022,1539563644320591872,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
11,Wed Jun 22 10:55:22 +0000 2022,1539562684076769280,more than 1000 people were killed and over 1500 others injured in tuesday night’s earthquake in  and  di   _urlincl_ _locincl_,Barmal,32.71433,69.275053
12,Wed Jun 22 05:34:29 +0000 2022,1539481933620682753,breaking at least 255 people have been killed and 155 others injured in an earthquake in    and  di _locincl_,Ziruk,33.155823,69.326833
13,Wed Jun 22 10:55:11 +0000 2022,1539562637838520322,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
14,Wed Jun 22 11:57:45 +0000 2022,1539578384363229191,a man who lost 17 members of his family in the last night earthquake in  of  such a huge lost   _urlincl_ _locincl_,Barmal,32.71433,69.275053
15,Wed Jun 22 13:47:05 +0000 2022,1539605899903438849,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
16,Wed Jun 22 13:47:05 +0000 2022,1539605899903438849,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
17,Wed Jun 22 13:20:10 +0000 2022,1539599123585933313,this man has lost 17 family members in afghanistanearthquake  district of  the death toll has surpassed 100 _locincl_,Barmal,32.71433,69.275053
18,Wed Jun 22 15:08:04 +0000 2022,1539626280316211201,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
19,Wed Jun 22 12:49:00 +0000 2022,1539591282510766080,this man has lost 17 family members in afghanistanearthquake  district of  the death toll has surpassed 100 _locincl_,Barmal,32.71433,69.275053
20,Wed Jun 22 08:31:18 +0000 2022,1539526431444717569,afghan red crescent nurses staff and volunteers are currently working to help earthquake victims in the  district _locincl_,Gyan,32.975159,69.399302
21,Wed Jun 22 12:27:55 +0000 2022,1539585976523186176,this man has lost 17 family members in afghanistanearthquake  district of  the death toll has surpassed 100 _locincl_,Barmal,32.71433,69.275053
22,Wed Jun 22 11:14:06 +0000 2022,1539567397841125377,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
23,Wed Jun 22 13:42:32 +0000 2022,1539604754799656966,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
24,Wed Jun 22 13:42:32 +0000 2022,1539604754799656966,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
25,Wed Jun 22 10:51:58 +0000 2022,1539561827801120772,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and    _urlincl_ _locincl_,Barmal,32.71433,69.275053
26,Wed Jun 22 13:14:57 +0000 2022,1539597811775246337,breaking at least 1000 people were killed and 1500 others injured in an earthquake only in  and  districts of _locincl_,Barmal,32.71433,69.275053
27,Wed Jun 22 12:36:13 +0000 2022,1539588066834268161,update 17 members of a family were killed in last nights earthquake in  in  district of the pr _locincl_,Barmal,32.71433,69.275053
28,Wed Jun 22 12:39:01 +0000 2022,1539588768638074881,he most affected areas are in  in  and    and  districts i   _urlincl_ _locincl_,Ziruk,33.155823,69.326833
29,Wed Jun 22 12:21:07 +0000 2022,1539584263024246785,the most affected areas in earthquake are  in     and  districts of  _locincl_,Zeruk,33.155823,69.326833
30,Wed Jun 22 12:21:07 +0000 2022,1539584263024246785,the most affected areas in earthquake are  in     and  districts of  _locincl_,Zeruk,33.155823,69.326833
31,Wed Jun 22 11:13:16 +0000 2022,1539567191707701248,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
32,Wed Jun 22 11:18:48 +0000 2022,1539568581997826049,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
33,Wed Jun 22 11:04:17 +0000 2022,1539564928427622406,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
34,Wed Jun 22 10:15:59 +0000 2022,1539552773594746880,according to preliminary information 100 people have been killed in   district afghan  village  _locincl_,Spera,33.15664,69.491204
